query,binary euclidean prec,binary euclidean rec,binary euclidean f-measure,binary cosine prec,binary cosine rec,binary cosine f-measure,tf euclidean prec,tf euclidean rec,tf euclidean f-measure,tf cosine prec,tf cosine rec,tf cosine f-measure,tfidf euclidean prec,tfidf euclidean rec,tfidf euclidean f-measure,tfidf cosine prec,tfidf cosine rec,tfidf cosine f-measure
161,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
162,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
163,0.10000000000000001,1.0,0.18181818181818182,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989
164,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
169,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
170,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
171,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151,0.0,0.0,0.0,0.5,1.0,0.66666666666666663,0.0,0.0,0.0,0.5,1.0,0.66666666666666663
172,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
173,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
174,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
175,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151
179,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.29999999999999999,1.0,0.46153846153846151,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
180,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
181,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
184,0.0,0.0,0.0,0.59999999999999998,1.0,0.74999999999999989,0.0,0.0,0.0,0.69999999999999996,1.0,0.82352941176470584,0.0,0.0,0.0,0.69999999999999996,1.0,0.82352941176470584
185,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
186,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182,0.0,0.0,0.0,0.10000000000000001,1.0,0.18181818181818182
187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000001,1.0,0.33333333333333337,0.0,0.0,0.0,0.40000000000000002,1.0,0.57142857142857151
